Symbol,Date,Open,High,Low,Close,Percent Change,Volume
LBBL,29-12-21,445.7,445.7,427,430.2,-1.56,37355
LBBL,28-12-21,438,448,422,437,1.65,55587
LBBL,27-12-21,461,461,427,429.9,-5.1,86428
LBBL,26-12-21,456,465,446,453,0.44,79223
LBBL,23-12-21,466.1,468,441.1,451,-1.31,74536
LBBL,22-12-21,438.6,458.8,430,457,6.28,75390
LBBL,21-12-21,425,435,415,430,2.38,47486
LBBL,20-12-21,434.5,439,414,420,-1.41,30313
LBBL,16-12-21,439.1,448,424,426,-4.91,47636
LBBL,15-12-21,460,468,435,448,-0.67,161402
LBBL,14-12-21,421,451,416.5,451,9.2,40225
LBBL,13-12-21,422,442,406,413,-3.88,138847
LBBL,12-12-21,519,529,485,485.5,-7.35,131123
LBBL,09-12-21,533,533,510,524,0,103959
LBBL,08-12-21,549,550,520,524,-3.68,65507
LBBL,07-12-21,574,586,542,544,-3.53,85318
LBBL,06-12-21,553,565,524,563.9,3.66,144255
LBBL,05-12-21,573.2,573.2,539,544,-3.2,78949
LBBL,02-12-21,594.6,594.6,561.1,562,-3.6,63512
LBBL,01-12-21,600,600,581.2,583,-1.19,61732
LBBL,30-11-21,596,607.9,575,590,0.85,71441
LBBL,29-11-21,590,607,577.1,585,0.69,106292
LBBL,28-11-21,616,616,580,581,-5.22,137134
LBBL,25-11-21,630,634,611,613,-1.78,112947
LBBL,24-11-21,618,642,610,624.1,-0.94,87388
LBBL,23-11-21,636,648.7,620.4,630,-2.02,119489
LBBL,22-11-21,660,662.8,640,643,-1.06,105944
LBBL,21-11-21,644,665,636.1,649.9,0.92,133688
LBBL,18-11-21,660,673,640,644,-1.98,144585
LBBL,17-11-21,675,697,657,657,-1.94,292680
LBBL,16-11-21,673,676.2,656,670,1.52,272892
LBBL,15-11-21,613.6,671.9,613.6,660,5.41,361029
LBBL,14-11-21,596,639,596,626.1,5.05,259886
LBBL,11-11-21,620,620,588,596,-3.72,133825
LBBL,09-11-21,640,651,606,619,-4.61,272538
LBBL,08-11-21,641,665,640,648.9,1.17,191841
LBBL,03-11-21,652,678,639,641.4,-1.63,159447
LBBL,02-11-21,610,663,593,652,7.24,323163
LBBL,01-11-21,591.3,630,581.3,608,4.86,260089
LBBL,31-10-21,537,579.8,537,579.8,10,228580
LBBL,28-10-21,530.9,539,515,527.1,-0.53,94252
LBBL,27-10-21,531.4,550,520,529.9,-1.87,91695
LBBL,26-10-21,515,550,505,540,3.65,199071
LBBL,25-10-21,485.5,522.6,485.5,521,9.22,95074
LBBL,24-10-21,465,485,461,477,1.71,44209
