"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BFC","2021-12-29","452","455","438","440","-1.57","13843"
"BFC","2021-12-28","433","455.5","424.4","447","3.23","30045"
"BFC","2021-12-27","460","475","433","433","-5.89","26037"
"BFC","2021-12-26","473","474","456","460.1","-2.11","16562"
"BFC","2021-12-23","480","494.1","463","470","-0.42","35749"
"BFC","2021-12-22","450","474","450","472","6.79","30899"
"BFC","2021-12-21","443","451","434","442","1.61","13352"
"BFC","2021-12-20","450","450","425","435","-2.03","10987"
"BFC","2021-12-16","458","464","438","444","-2.84","18583"
"BFC","2021-12-15","437","471.9","432","457","6.53","56713"
"BFC","2021-12-14","397","429","397","429","10.00","23521"
"BFC","2021-12-13","411","415","383","390","-6.92","45155"
"BFC","2021-12-12","448","450","419","419","-6.47","25462"
"BFC","2021-12-09","450","458.9","435","448","-0.11","23709"
"BFC","2021-12-08","470","480","448","448.5","-4.57","21734"
"BFC","2021-12-07","498.5","508.9","469","470","-3.89","22894"
"BFC","2021-12-06","480","497.7","442","489","3.16","42275"
"BFC","2021-12-05","499","500","468","474","-4.82","36689"
"BFC","2021-12-02","515","515","497","498","-3.30","30627"
"BFC","2021-12-01","526","526","515","515","-0.19","11490"
"BFC","2021-11-30","511","518","506.1","516","1.38","17738"
"BFC","2021-11-29","506","516.1","497","509","0.59","27525"
"BFC","2021-11-28","516.5","535.5","502","506","-3.27","33908"
"BFC","2021-11-25","535","540","521.4","523.1","-1.30","20704"
"BFC","2021-11-24","525","549","512","530","1.73","20797"
"BFC","2021-11-23","536.9","536.9","518","521","-3.16","37255"
"BFC","2021-11-22","548","550","538","538","0.00","18491"
"BFC","2021-11-21","537.9","556","535","538","0.00","23108"
"BFC","2021-11-18","541","556","530.2","538","-2.54","31487"
"BFC","2021-11-17","566","580","548.9","552","-0.54","46516"
"BFC","2021-11-16","551.5","562","529","555","2.59","48183"
"BFC","2021-11-15","530","562.4","530","541","3.44","34793"
"BFC","2021-11-14","516","533","497","523","1.36","36593"
"BFC","2021-11-11","535","540","509","516","-4.44","54781"
"BFC","2021-11-09","567","570","537","540","-4.76","65195"
"BFC","2021-11-08","575.2","579.9","566.1","567","0.53","23899"
"BFC","2021-11-03","580","580","563","564","-1.57","34576"
"BFC","2021-11-02","551","575.9","551","573","2.50","56972"
"BFC","2021-11-01","573","590","558","559","-2.44","69574"
"BFC","2021-10-31","586","596.9","561.6","573","-2.22","100870"
"BFC","2021-10-28","580","615","558","586","1.03","134463"
"BFC","2021-10-27","544.3","587","520","580","8.68","299963"
"BFC","2021-10-26","494.9","533.7","494.9","533.7","10.00","20782"
"BFC","2021-10-25","449.9","485.2","449.9","485.2","10.00","10101"
"BFC","2021-10-24","409","441.1","409","441.1","10.00","17567"
"BFC","2021-10-21","420.2","420.2","396","401","-2.67","14639"
"BFC","2021-10-20","393","416","393","412","6.46","18696"
"BFC","2021-10-19","410","410","383","387","-5.61","33663"
"BFC","2021-10-18","425","425","400","410","-4.43","17181"
"BFC","2021-10-17","428","436.4","412.1","429","0.23","6664"
"BFC","2021-10-11","432.2","433","416","428","-0.97","16182"
"BFC","2021-10-10","446","469","430","432.2","-1.28","38827"
"BFC","2021-10-06","405","437.8","405","437.8","10.00","22665"
"BFC","2021-10-05","387","402","387","398","4.74","15450"
"BFC","2021-10-04","390.1","395","375","380","-3.31","24461"
"BFC","2021-10-03","422.9","422.9","391.1","393","-5.30","23055"
"BFC","2021-09-30","436","444","409","415","-3.04","21088"
"BFC","2021-09-29","409","439","390","428","4.65","40447"
"BFC","2021-09-28","430","450","395","409","-5.98","38797"
"BFC","2021-09-27","462","480","432","435","-5.84","30297"
"BFC","2021-09-26","490","499.9","460","462","-7.60","34541"
"BFC","2021-09-23","509.3","535","491","500","0.12","49360"
"BFC","2021-09-22","463","499.4","463","499.4","10.00","43624"
"BFC","2021-09-21","467","492","412.2","454","-0.87","54618"
"BFC","2021-09-20","517","518","457.2","458","-9.84","77676"
"BFC","2021-09-16","520","520","490","508","-3.61","60601"
"BFC","2021-09-15","540","550","525","527","-2.86","29763"
"BFC","2021-09-14","548","560","541","542.5","-2.78","33530"
"BFC","2021-09-13","561","580","552","558","1.45","69964"
"BFC","2021-09-12","520","550","510","550","5.77","46559"
"BFC","2021-09-09","534","540","515","520","-0.95","24052"
"BFC","2021-09-08","549","549","515","525","-4.37","46940"
"BFC","2021-09-07","550","569.9","528","549","1.74","59576"
"BFC","2021-09-06","480.8","539.6","471","539.6","9.99","86543"
"BFC","2021-09-05","534.2","535","490.6","490.6","-10.00","96523"
"BFC","2021-09-02","578","588.5","539","545.1","-5.53","81668"
"BFC","2021-09-01","600","609","575","577","-3.83","71503"
"BFC","2021-08-31","621","625","585.1","600","-2.52","102564"
"BFC","2021-08-29","599.7","630","599.7","615.5","4.68","241932"
"BFC","2021-08-26","550","594.9","550","588","7.10","123729"
"BFC","2021-08-25","565","573","540","549","-3.17","58842"
"BFC","2021-08-24","573","596","550.1","567","-1.56","106440"
"BFC","2021-08-19","596","616","566.5","576","-3.84","135152"
"BFC","2021-08-18","580.3","620","580.3","599","5.27","210574"
"BFC","2021-08-17","550","571.2","545","569","4.60","103318"
"BFC","2021-08-16","550","559","534","544","0.00","79769"
"BFC","2021-08-15","553.8","580","510","544","-3.73","158030"
"BFC","2021-08-12","571.5","585","549","565.1","0.86","146478"
"BFC","2021-08-11","590","590","552","560.3","-3.16","180971"
"BFC","2021-08-10","536","578.6","536","578.6","10.00","230100"
"BFC","2021-08-09","497.7","535","491","526","7.79","132287"
"BFC","2021-08-08","484","499.9","480","488","0.83","86388"
"BFC","2021-08-05","500.8","503","481","484","-1.43","117617"
"BFC","2021-08-04","476","500","472","491","5.14","169385"
"BFC","2021-08-03","475","475","451","467","0.00","57014"
"BFC","2021-08-02","466.1","485","466","467","0.19","78305"
"BFC","2021-08-01","480","480","462","466.1","-1.87","103032"
"BFC","2021-07-29","494","494.6","467","475","-2.06","128287"
"BFC","2021-07-28","464","496.7","464","485","6.59","204957"
"BFC","2021-07-27","428","456","428","455","5.57","173542"
"BFC","2021-07-26","424","434","419","431","3.11","132104"
"BFC","2021-07-25","419","422","412","418","1.70","87858"
"BFC","2021-07-22","417","418","407","411","-0.94","53507"
"BFC","2021-07-20","428.4","428.4","412","414.9","-1.21","52398"
"BFC","2021-07-19","432.4","441","417","420","-0.94","94990"
"BFC","2021-07-18","430","438.6","421","424","-0.47","78659"
"BFC","2021-07-15","440","440","425","426","-0.93","84653"
"BFC","2021-07-14","438","438","414","430","2.87","96767"
"BFC","2021-07-13","420","422","389","418","4.50","91573"
"BFC","2021-07-12","410","430","383","400","-0.50","112038"
"BFC","2021-07-11","384","402","377","402","9.84","87610"
"BFC","2021-07-08","363","380","351","366","2.23","41748"
"BFC","2021-07-07","367","373","350","358","-2.19","20287"
"BFC","2021-07-06","390","390","360","366","-1.61","17092"
"BFC","2021-07-05","404","404","367","372","-3.38","31502"
"BFC","2021-07-04","395","402","376","385","-1.28","75926"
"BFC","2021-07-01","370","390","360","390","8.64","83038"
"BFC","2021-06-30","335","360","310","359","7.81","83044"
"BFC","2021-06-29","380","380","332","333","-8.01","101730"
"BFC","2021-06-28","402","402","355","362","-5.48","61669"
"BFC","2021-06-27","409","409","380","383","-1.79","30406"
"BFC","2021-06-24","398","405","384","390","-2.01","37251"
"BFC","2021-06-23","434","434","394","398","-3.86","56166"
"BFC","2021-06-22","395","414","368","414","9.81","115095"
"BFC","2021-06-21","428","428","377","377","-7.60","93822"
"BFC","2021-06-20","430","434","389","408","-3.77","94631"
"BFC","2021-06-17","426","440","374","424","4.43","152252"
"BFC","2021-06-16","440","453","405","406","-9.78","163880"
"BFC","2021-06-15","456","497","444","450","-4.86","141231"
"BFC","2021-06-14","455","478","448","473","8.74","208013"
"BFC","2021-06-13","396","435","396","435","9.85","214771"
"BFC","2021-06-10","395","402","371","396","1.54","179710"
"BFC","2021-06-09","410","417","370","390","-0.01","224911"
"BFC","2021-06-08","365","393","363","393","9.78","112827"
"BFC","2021-06-07","332","360","331","358","7.83","238169"
"BFC","2021-06-06","353","353","324","332","-4.32","158585"
"BFC","2021-06-03","340","361","336","347","5.47","214202"
"BFC","2021-06-02","303","330","300","329","8.58","258994"
"BFC","2021-06-01","300","314","300","303","-1.94","65439"
"BFC","2021-05-31","320","321","306","309","-0.32","139353"
"BFC","2021-05-30","301","322","298","310","4.38","192232"
"BFC","2021-05-27","282","312","270","297","3.48","151527"
"BFC","2021-05-25","293","294","279","287","-2.05","97709"
"BFC","2021-05-24","304","310","283","293","1.03","192383"
"BFC","2021-05-23","259","290","245","290","9.85","223274"
"BFC","2021-05-20","255","270","242","264","3.94","159463"
"BFC","2021-05-19","254","266","241","254","4.96","170727"
"BFC","2021-05-18","221","242","220","242","10.00","230854"
"BFC","2021-05-17","220","226","213","220","0.00","139682"
"BFC","2021-05-16","216","226","212","220","6.80","176042"
"BFC","2021-05-13","188","206","186","206","9.57","249083"
