"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JFL","2021-12-29","585","595.6","574","583","-0.17","11922"
"JFL","2021-12-28","547","584","538","584","4.85","34002"
"JFL","2021-12-27","612","620","555","557","-7.17","44893"
"JFL","2021-12-26","616","616","600","600","-0.83","22270"
"JFL","2021-12-23","616","621.1","595","605","-1.61","33571"
"JFL","2021-12-22","582.4","622","559.7","614.9","7.69","51964"
"JFL","2021-12-21","530","571","530","571","9.81","21484"
"JFL","2021-12-20","510","534","500.2","520","1.25","19030"
"JFL","2021-12-16","520","536.5","512","513.6","0.71","35576"
"JFL","2021-12-15","540.6","583","510","510","-3.77","51544"
"JFL","2021-12-14","494.7","530","494.7","530","9.28","15468"
"JFL","2021-12-13","515","525","477.5","485","-7.62","40750"
"JFL","2021-12-12","579.8","591.6","525","525","-9.17","31701"
"JFL","2021-12-09","565","590","562","578","0.52","17782"
"JFL","2021-12-08","599.1","610.9","564.5","575","-5.89","21918"
"JFL","2021-12-07","642.2","655","610","611","-3.78","14325"
"JFL","2021-12-06","609","640","588","635","2.25","28651"
"JFL","2021-12-05","657","657","620","621","-5.48","18635"
"JFL","2021-12-02","692","692","653","657","-4.16","24912"
"JFL","2021-12-01","679.3","689","670","685.5","2.93","19871"
"JFL","2021-11-30","686.4","690","663","666","-1.04","23811"
"JFL","2021-11-29","657.7","694","657.7","673","0.28","18153"
"JFL","2021-11-28","695","698","670","671.1","-5.35","38224"
"JFL","2021-11-25","708","723","695","709","2.01","20093"
"JFL","2021-11-24","690","714","673.3","695","-0.71","28736"
"JFL","2021-11-23","709","716.9","671.3","700","-1.13","63289"
"JFL","2021-11-22","730","730","707.7","708","-1.94","23678"
"JFL","2021-11-21","730","743.9","716","722","0.28","24335"
"JFL","2021-11-18","730.1","757","716","720","-3.36","70336"
"JFL","2021-11-17","775","775","745","745","-2.00","82022"
"JFL","2021-11-16","745","803.9","731","760.2","2.33","181021"
"JFL","2021-11-15","723","749.7","716.2","742.9","4.63","117518"
"JFL","2021-11-14","682","715","677","710","2.90","48149"
"JFL","2021-11-11","698","730","682","690","-3.12","85396"
"JFL","2021-11-09","732","736","686","712.2","-1.36","124684"
"JFL","2021-11-08","687.4","730","687","722","7.12","83850"
"JFL","2021-11-03","673.2","687","673","674","2.12","40488"
"JFL","2021-11-02","639","671","629","660","3.13","33453"
"JFL","2021-11-01","660","678","637","640","-3.03","26481"
"JFL","2021-10-31","640","670","630.1","660","3.11","35025"
"JFL","2021-10-28","655","655","628","640.1","-0.76","21742"
"JFL","2021-10-27","639","670","604","645","1.26","45028"
"JFL","2021-10-26","617","638","617","637","4.94","47813"
"JFL","2021-10-25","555","610","555","607","7.43","43873"
"JFL","2021-10-24","549.9","580","549.9","565","2.54","16566"
"JFL","2021-10-21","572","581","551","551","-3.33","8718"
"JFL","2021-10-20","550.8","573","550.8","570","5.56","22969"
"JFL","2021-10-19","570","570","528","540","-5.25","24277"
"JFL","2021-10-18","582.2","582.2","562","569.9","-4.06","12188"
"JFL","2021-10-17","596.6","596.7","576","594","1.54","7970"
"JFL","2021-10-11","568","585","558","585","0.95","22877"
