"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MERO","2021-12-29","1033","1054","1030","1035","2.12","4757"
"MERO","2021-12-28","1014","1035","1010","1013.5","-1.60","8288"
"MERO","2021-12-27","1091","1100","1029","1030","-3.74","15714"
"MERO","2021-12-26","1025","1071","1023.1","1070","6.47","15408"
"MERO","2021-12-23","1035","1035","1000","1005","-1.08","9072"
"MERO","2021-12-22","986","1025","976","1016","5.07","9368"
"MERO","2021-12-21","966.9","968.9","950","967","2.00","8851"
"MERO","2021-12-20","950","969","946","948","-0.73","2897"
"MERO","2021-12-16","970","984","950","955","-1.55","6009"
"MERO","2021-12-15","1007","1049","955.5","970","-1.82","18656"
"MERO","2021-12-14","912","988","912","988","9.78","6753"
"MERO","2021-12-13","950.6","974.9","878.1","900","-7.22","18340"
"MERO","2021-12-12","1049","1049","952","970","-5.83","17739"
"MERO","2021-12-09","1027","1044","1015","1030","-1.44","5933"
"MERO","2021-12-08","1100","1100","1018.3","1045","-4.74","18785"
"MERO","2021-12-07","1180.3","1180.3","1068.2","1097","-5.20","27234"
"MERO","2021-12-06","1045","1157.2","1000","1157.2","10.00","14823"
"MERO","2021-12-05","1082","1090","1050","1052","-3.94","6591"
"MERO","2021-12-02","1120","1201.3","1095","1095.2","-1.33","8590"
"MERO","2021-12-01","1147.5","1237.5","1097.6","1110","-1.33","15227"
"MERO","2021-11-30","1155","1155","1116","1125","-1.40","4967"
"MERO","2021-11-29","1159","1180","1141","1141","-2.06","6621"
"MERO","2021-11-28","1215","1215","1139.8","1165","-4.12","18417"
"MERO","2021-11-25","1224","1224","1200","1215","1.25","17686"
"MERO","2021-11-24","1433.1","1449","1385","1440","2.49","30382"
"MERO","2021-11-23","1452","1455","1405","1405","-3.24","16729"
"MERO","2021-11-22","1450","1463","1450","1452","0.21","9938"
"MERO","2021-11-21","1472","1472","1446","1449","0.35","7910"
"MERO","2021-11-18","1462","1468.8","1439","1444","0.28","15904"
"MERO","2021-11-17","1458","1458","1440","1440","0.63","8742"
"MERO","2021-11-16","1426","1438","1412","1431","1.06","3894"
"MERO","2021-11-15","1433","1433","1405","1416","0.78","4001"
"MERO","2021-11-14","1416","1430","1402.2","1405","-0.78","8436"
"MERO","2021-11-11","1430","1445","1410.2","1416","-2.61","11764"
"MERO","2021-11-09","1495.3","1520","1430","1454","-0.82","29483"
"MERO","2021-11-08","1470","1484.9","1451","1466","-0.17","6648"
"MERO","2021-11-03","1489.9","1490","1467","1468.5","0.37","11905"
"MERO","2021-11-02","1465","1476","1455","1463.1","0.21","11284"
"MERO","2021-11-01","1530","1531","1460","1460","-2.86","31345"
"MERO","2021-10-31","1475","1525","1467","1503","2.18","28297"
"MERO","2021-10-28","1470","1490","1453","1471","0.07","26825"
"MERO","2021-10-27","1455","1499","1453","1470","-0.81","18881"
"MERO","2021-10-26","1489","1585","1465","1482","1.16","41414"
"MERO","2021-10-25","1495.1","1520.9","1435.9","1465","-3.97","74824"
"MERO","2021-10-24","1661.2","1661.2","1525.6","1525.6","-10.00","19957"
"MERO","2021-10-21","1510.2","1695.1","1407","1695.1","10.00","44201"
"MERO","2021-10-20","1420","1541","1365","1541","9.48","23600"
"MERO","2021-10-19","1353","1407.6","1296","1407.6","2.00","14098"
"MERO","2021-10-18","1389.9","1389.9","1338","1380","-0.71","9879"
"MERO","2021-10-17","1385","1405","1381","1389.9","0.35","6183"
"MERO","2021-10-11","1430","1430","1353","1385","-3.48","20267"
"MERO","2021-10-10","1481","1496","1425","1435","-2.18","24227"
"MERO","2021-10-06","1432","1480","1407","1467","4.49","36702"
"MERO","2021-10-05","1347.9","1425","1347","1404","6.24","86382"
"MERO","2021-10-04","1361.7","1365","1295","1321.5","-1.01","21794"
"MERO","2021-10-03","1321","1335","1296","1335","0.38","7446"
"MERO","2021-09-30","1310","1377","1291","1330","3.42","28693"
"MERO","2021-09-29","1260","1325","1259.9","1286","1.56","6147"
"MERO","2021-09-28","1302","1310","1266","1266.2","-4.65","15309"
"MERO","2021-09-27","1378","1378","1310","1328","-3.63","14900"
"MERO","2021-09-26","1428","1428","1364","1378","-1.57","8461"
"MERO","2021-09-23","1446","1446","1390","1400","-1.27","21922"
"MERO","2021-09-22","1438","1447","1400","1418","0.57","21845"
"MERO","2021-09-21","1420","1448.6","1363.8","1410","-0.70","14369"
"MERO","2021-09-20","1490","1490","1416.1","1420","-4.76","13924"
"MERO","2021-09-16","1530.1","1530.1","1470","1491","-3.25","12271"
"MERO","2021-09-15","1570","1601","1527","1541.1","-0.57","11753"
"MERO","2021-09-14","1510","1604","1491","1550","2.98","24223"
"MERO","2021-09-13","1536","1546.5","1505.2","1505.2","-0.78","7527"
"MERO","2021-09-12","1504","1517","1482","1517","2.85","5489"
"MERO","2021-09-09","1480","1490","1461","1475","-0.34","5970"
"MERO","2021-09-08","1472","1500","1460","1480","-0.80","5441"
"MERO","2021-09-07","1520","1524","1470","1492","-1.71","5978"
"MERO","2021-09-06","1460","1529","1440","1518","4.65","18036"
"MERO","2021-09-05","1490","1505","1442","1450.5","-3.94","14463"
"MERO","2021-09-02","1491","1550","1486","1510","0.59","10141"
"MERO","2021-09-01","1535","1540","1490","1501.1","-1.63","17826"
"MERO","2021-08-31","1555.1","1560.5","1515","1526","-3.17","11676"
"MERO","2021-08-29","1620","1630","1568","1576","-1.44","10309"
"MERO","2021-08-26","1630","1630","1590","1599","-0.48","12092"
"MERO","2021-08-25","1620","1625","1606","1606.7","-1.19","6279"
