"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBL","2021-12-29","340","342","336.1","339.9","0.27","63277"
"NBL","2021-12-28","339","340","333","339","0.00","64076"
"NBL","2021-12-27","355","356.9","338","339","-3.97","125182"
"NBL","2021-12-26","355","355","349","353","0.86","71876"
"NBL","2021-12-23","354","355","344","350","0.43","85104"
"NBL","2021-12-22","345","352.9","344","348.5","2.80","84645"
"NBL","2021-12-21","339","340","330","339","1.19","55331"
"NBL","2021-12-20","338","340","330.8","335","-0.74","64968"
"NBL","2021-12-16","331.1","339.6","331","337.5","0.15","54541"
"NBL","2021-12-15","342.7","357","335","337","0.30","90333"
"NBL","2021-12-14","322","336","322","336","5.33","60335"
"NBL","2021-12-13","330","330","317","319","-4.20","111283"
"NBL","2021-12-12","350","350","330.5","333","-3.48","84988"
"NBL","2021-12-09","354.9","354.9","342","345","-2.54","77127"
"NBL","2021-12-08","365","368","353","354","-3.83","76439"
"NBL","2021-12-07","378","380","367","368.1","-2.79","151300"
"NBL","2021-12-06","430.4","433","421.2","431.7","2.30","290753"
"NBL","2021-12-05","439","439","421","422","-2.99","121302"
"NBL","2021-12-02","440","444","432","435","-0.91","111320"
"NBL","2021-12-01","440","444","439","439","-0.23","51523"
"NBL","2021-11-30","448","448","435","440","0.05","64378"
"NBL","2021-11-29","430","445.7","430","439.8","0.41","63740"
"NBL","2021-11-28","445","450","437","438","-1.57","77518"
"NBL","2021-11-25","445","449","440","445","1.25","94906"
"NBL","2021-11-24","439","440","433.3","439.5","0.11","48115"
"NBL","2021-11-23","446","447","435","439","-1.68","156816"
"NBL","2021-11-22","448","451","445.1","446.5","-0.33","69054"
"NBL","2021-11-21","450","454","445","448","-0.44","71962"
"NBL","2021-11-18","462","462","449","450","-2.49","107262"
"NBL","2021-11-17","468.5","468.5","459","461.5","0.46","72269"
"NBL","2021-11-16","455","459.8","446","459.4","2.11","194896"
"NBL","2021-11-15","458.9","460","447","449.9","-0.22","95462"
"NBL","2021-11-14","454","459","445","450.9","-0.68","69586"
"NBL","2021-11-11","465","470","453","454","-2.37","90966"
"NBL","2021-11-09","473","473","460","465","-1.69","102887"
"NBL","2021-11-08","473","480.9","470","473","0.00","55431"
"NBL","2021-11-03","479.4","484","470","473","0.64","128371"
"NBL","2021-11-02","470.1","479","467","470","-0.21","69797"
"NBL","2021-11-01","483","488","470","471","-1.67","106343"
"NBL","2021-10-31","483","484","477","479","-0.31","142378"
"NBL","2021-10-28","489","489","478.8","480.5","-1.54","223915"
"NBL","2021-10-27","490.1","491","481","488","-0.20","206435"
"NBL","2021-10-26","480","489.9","474","489","3.34","186479"
"NBL","2021-10-25","460","474","456.7","473.2","3.98","226030"
"NBL","2021-10-24","462","462","453.1","455.1","-1.07","133279"
"NBL","2021-10-21","467","467","457","460","-0.65","95687"
"NBL","2021-10-20","467.4","485.9","458","463","0.98","123325"
"NBL","2021-10-19","468","468","451","458.5","-2.86","137334"
"NBL","2021-10-18","480","480","466","472","-2.48","157783"
"NBL","2021-10-17","494.2","494.3","483","484","-0.21","50395"
"NBL","2021-10-11","485","490","481","485","0.00","217094"
"NBL","2021-10-10","495","498","484","485","-0.82","194332"
"NBL","2021-10-06","491.9","496.9","486","489","0.23","217195"
"NBL","2021-10-05","490","490","484.2","487.9","0.81","107470"
"NBL","2021-10-04","485","488","476","484","-0.21","234925"
"NBL","2021-10-03","491","498","484","485","-1.42","208355"
"NBL","2021-09-30","502","506","492","492","-1.80","241679"
"NBL","2021-09-29","490","501","484.3","501","2.24","334495"
"NBL","2021-09-28","501","506.9","488","490","-2.20","292994"
"NBL","2021-09-27","510","515","500","501","-2.68","255442"
"NBL","2021-09-26","527.3","535","511","514.8","-0.43","411048"
"NBL","2021-09-23","499.8","530","499.8","517","5.51","522594"
"NBL","2021-09-22","486.5","490.9","478.7","490","2.73","245312"
"NBL","2021-09-21","475","485","457.7","477","0.42","263282"
"NBL","2021-09-20","500","500","475","475","-3.28","275013"
"NBL","2021-09-16","505","505","488","491.1","-2.56","373018"
"NBL","2021-09-15","516","516","502.5","504","-1.37","132305"
"NBL","2021-09-14","516","520","505","511","0.10","177929"
"NBL","2021-09-13","513","520","505","510.5","0.10","234400"
"NBL","2021-09-12","503","514","503","510","1.39","176260"
"NBL","2021-09-09","504.9","510","501.1","503","-0.16","194308"
"NBL","2021-09-08","513","513","500","503.8","-1.79","252280"
"NBL","2021-09-07","530","530","509","513","-2.25","248099"
"NBL","2021-09-06","499","524.9","496.1","524.8","5.17","368652"
"NBL","2021-09-05","512","515","492","499","-2.54","506118"
"NBL","2021-09-02","525","525","506","512","-1.54","369890"
"NBL","2021-09-01","530.9","530.9","517","520","-0.10","346589"
"NBL","2021-08-31","517","534","507","520.5","0.68","573185"
"NBL","2021-08-29","534","535","515.1","517","-2.08","394669"
"NBL","2021-08-26","528","535","520","528","0.00","404489"
"NBL","2021-08-25","540","540","526","528","-2.22","371510"
"NBL","2021-08-24","559.2","559.2","535.6","540","-3.43","769151"
"NBL","2021-08-19","575","575","556","559.2","-0.85","513605"
"NBL","2021-08-18","550","575","542","564","2.47","783232"
"NBL","2021-08-17","561","563","542.1","550.4","-0.45","776126"
"NBL","2021-08-16","549.5","572","543","552.9","2.62","1166463"
"NBL","2021-08-15","512.1","548","512.1","538.8","7.31","1975908"
"NBL","2021-08-12","497","504.9","486","502.1","1.03","390089"
"NBL","2021-08-11","503","503.8","491","497","0.61","581703"
