"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KSBBL","2021-12-29","438","444","427.3","435","-0.23","29013"
"KSBBL","2021-12-28","432.2","442","426","436","-1.13","46605"
"KSBBL","2021-12-27","470","470","440","441","-4.34","67478"
"KSBBL","2021-12-26","472","472","460","461","-0.58","50557"
"KSBBL","2021-12-23","478","478","453","463.7","-1.13","48944"
"KSBBL","2021-12-22","445","473.7","445","469","7.32","67315"
"KSBBL","2021-12-21","431","439","423.5","437","3.31","26988"
"KSBBL","2021-12-20","435","435","418","423","-1.76","23287"
"KSBBL","2021-12-16","445","446","426","430.6","-3.47","39653"
"KSBBL","2021-12-15","448","480","434.2","446.1","1.39","105409"
"KSBBL","2021-12-14","408","440","404","440","10.00","31325"
"KSBBL","2021-12-13","426","430","398","400","-7.41","94847"
"KSBBL","2021-12-12","462.2","467","431","432","-7.10","46086"
"KSBBL","2021-12-09","474","478","464","465","-1.90","43157"
"KSBBL","2021-12-08","476","498","470","474","-2.31","44402"
"KSBBL","2021-12-07","519","526","485","485.2","-4.86","70375"
"KSBBL","2021-12-06","500","520","471.5","510","2.00","89802"
"KSBBL","2021-12-05","510","528.1","495","500","-3.85","64930"
"KSBBL","2021-12-02","545","547","519.4","520","-4.06","46669"
"KSBBL","2021-12-01","538","549.7","533.1","542","1.71","45065"
"KSBBL","2021-11-30","543","553.8","525","532.9","-0.02","53999"
"KSBBL","2021-11-29","536","558","530","533","-1.64","83325"
"KSBBL","2021-11-28","560","570","539","541.9","-4.93","108171"
"KSBBL","2021-11-25","588","588","570","570","-2.23","43648"
"KSBBL","2021-11-24","556","583.7","546","583","3.20","60439"
"KSBBL","2021-11-23","580","587","555.7","564.9","-2.60","66079"
"KSBBL","2021-11-22","590","600","577","580","-1.69","88056"
"KSBBL","2021-11-21","605","605","585.1","590","-0.84","52986"
"KSBBL","2021-11-18","608","618.8","594","595","-2.14","71187"
"KSBBL","2021-11-17","628.5","628.5","608","608","-1.33","77902"
"KSBBL","2021-11-16","620","625","610","616.2","-0.21","72564"
"KSBBL","2021-11-15","606.9","626.8","606.9","617.5","3.78","82659"
"KSBBL","2021-11-14","590","608","585.1","595","0.34","78685"
"KSBBL","2021-11-11","607","615","583","593","-2.31","156563"
"KSBBL","2021-11-09","640","640","602","607","-5.16","160686"
"KSBBL","2021-11-08","650","660","639","640","-1.84","72331"
"KSBBL","2021-11-03","670","675","647.8","652","-2.69","173643"
"KSBBL","2021-11-02","680","735.9","650","670","-1.47","330728"
"KSBBL","2021-11-01","729","729","669.5","680","-6.72","367377"
"KSBBL","2021-10-31","663","729","624.3","729","9.95","246158"
"KSBBL","2021-10-28","625","663","605","663","8.16","107354"
"KSBBL","2021-10-27","607","646.6","595","613","0.99","129060"
"KSBBL","2021-10-26","724.2","770","710.6","719","1.27","617763"
"KSBBL","2021-10-25","662","710","652","710","9.06","144525"
"KSBBL","2021-10-24","660.9","660.9","646","651","0.46","32813"
"KSBBL","2021-10-21","665","666","643","648","-1.82","42893"
"KSBBL","2021-10-20","647","668","647","660","3.94","61228"
"KSBBL","2021-10-19","651","660","625.5","635","-3.93","83719"
"KSBBL","2021-10-18","690","690","656.6","661","-3.21","72200"
"KSBBL","2021-10-17","668.1","683","658","682.9","4.26","62170"
"KSBBL","2021-10-11","670","670","632.2","655","-0.76","47534"
"KSBBL","2021-10-10","680","681.5","655","660","-1.03","64769"
"KSBBL","2021-10-06","657","667","646","666.9","3.40","75485"
"KSBBL","2021-10-05","642.5","655","630","645","2.38","56379"
"KSBBL","2021-10-04","638","645","627","630","-0.94","67486"
"KSBBL","2021-10-03","649","659","634","636","-1.55","94379"
"KSBBL","2021-09-30","665","677","645","646","-2.56","78556"
"KSBBL","2021-09-29","643","670.1","634","663","2.79","104374"
"KSBBL","2021-09-28","647","673","637","645","-2.27","102922"
"KSBBL","2021-09-27","704","704","657.1","660","-4.49","137656"
"KSBBL","2021-09-26","691.5","733","685","691","1.92","293946"
"KSBBL","2021-09-23","707.8","715","677","678","-2.31","126021"
"KSBBL","2021-09-22","657","703","657","694","7.60","137572"
"KSBBL","2021-09-21","628","672.1","619","645","0.78","168159"
"KSBBL","2021-09-20","683.2","686","635","640","-6.32","211982"
"KSBBL","2021-09-16","700","700","670","683.2","-3.09","206278"
"KSBBL","2021-09-15","722","725","697","705","-1.95","163537"
"KSBBL","2021-09-14","732","739","709.5","719","-0.83","98752"
"KSBBL","2021-09-13","745.6","755","722","725","-0.82","181495"
"KSBBL","2021-09-12","696.6","737","683","731","7.03","234170"
"KSBBL","2021-09-09","686","699","675","683","-0.44","101090"
"KSBBL","2021-09-08","711","711","675","686","-2.28","123551"
"KSBBL","2021-09-07","730","731","685","702","-2.12","177331"
"KSBBL","2021-09-06","652","717.2","630","717.2","10.00","248405"
"KSBBL","2021-09-05","699","699","625.2","652","-6.05","337019"
"KSBBL","2021-09-02","718","730","682","694","-3.34","174838"
"KSBBL","2021-09-01","725","740","710.2","718","0.00","190853"
"KSBBL","2021-08-31","756","758","715","718","-5.03","308415"
"KSBBL","2021-08-29","791.7","791.7","753","756","-2.60","223073"
"KSBBL","2021-08-26","740","795","740","776.2","4.19","389263"
"KSBBL","2021-08-25","768.4","779","735","745","-4.97","389613"
"KSBBL","2021-08-24","810","814","765.1","784","-2.97","429815"
"KSBBL","2021-08-19","845","860","801","808","-4.38","517749"
"KSBBL","2021-08-18","805.8","866.9","770","845","6.96","677717"
"KSBBL","2021-08-17","759","796","737","790","6.04","327659"
"KSBBL","2021-08-16","710","745","685","745","6.43","517583"
"KSBBL","2021-08-15","698.6","740","656","700","-1.80","724311"
"KSBBL","2021-08-12","655","712.8","655","712.8","10.00","854026"
"KSBBL","2021-08-11","658.6","685.1","637","648","0.36","411810"
"KSBBL","2021-08-10","590","645.7","588","645.7","10.00","550047"
"KSBBL","2021-08-09","597","597","584.6","587","-0.68","76552"
"KSBBL","2021-08-08","600","600","590","591","0.17","98317"
"KSBBL","2021-08-05","589","603.7","582","590","1.37","165430"
"KSBBL","2021-08-04","585","585","575","582","0.87","73495"
"KSBBL","2021-08-03","584","584","573","577","0.07","80969"
"KSBBL","2021-08-02","587","591.6","575.2","576.6","-0.93","62327"
"KSBBL","2021-08-01","590","595.7","580","582","0.17","109416"
"KSBBL","2021-07-29","590","593","577.3","581","-0.60","116817"
"KSBBL","2021-07-28","592.6","599","581","584.5","0.60","89736"
"KSBBL","2021-07-27","575","585","567","581","0.00","137761"
"KSBBL","2021-07-26","595","595","580","581","-1.02","92459"
"KSBBL","2021-07-25","592","592","580.2","587","-0.84","185376"
"KSBBL","2021-07-22","605","610","590.1","592","-1.82","148801"
"KSBBL","2021-07-20","593.9","613","593.9","603","-0.50","117195"
"KSBBL","2021-07-19","631","635","601.8","606","-2.18","249420"
"KSBBL","2021-07-18","591.6","629","591.6","619.5","6.81","551994"
"KSBBL","2021-07-15","581","590","576","580","-0.17","113276"
"KSBBL","2021-07-14","595","600","574","581","-0.68","91634"
"KSBBL","2021-07-13","563","590","563","585","3.91","173371"
"KSBBL","2021-07-12","588","590","548","563","-2.43","320392"
"KSBBL","2021-07-11","532","580","532","577","9.28","272752"
"KSBBL","2021-07-08","520","530","510","528","2.33","90082"
"KSBBL","2021-07-07","510","523","510","516","0.19","40694"
"KSBBL","2021-07-06","505","525","505","515","0.39","45112"
"KSBBL","2021-07-05","519","525","511","513","-2.47","65645"
"KSBBL","2021-07-04","537","547","526","526","-0.38","127715"
"KSBBL","2021-07-01","523","543","510","528","2.72","194198"
"KSBBL","2021-06-30","485","525","480","514","3.21","185562"
"KSBBL","2021-06-29","492","521","492","498","-3.68","149440"
"KSBBL","2021-06-28","527","537","511","517","-1.90","114235"
"KSBBL","2021-06-27","539","550","525","527","-1.68","91105"
"KSBBL","2021-06-24","551","551","532","536","-2.01","119383"
"KSBBL","2021-06-23","575","578","543","547","-4.37","169737"
